amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
1417686.0,National Holiday,2018-02-16,False,True,True,True,True,True,Taipei
1455593.0,National Holiday,2018-02-17,False,True,True,True,True,True,Taipei
1744535.0,National Holiday,2018-02-18,False,True,True,True,True,True,Taipei
1766862.0,National Holiday,2018-02-19,True,True,True,True,True,True,Taipei
1595586.0,National Holiday,2018-02-20,False,True,True,True,True,True,Taipei
2050183.0,,2018-02-21,True,True,True,True,True,False,Taipei
2129778.0,,2018-02-22,True,False,False,True,False,False,Taipei
2314380.0,,2018-02-23,False,False,False,True,False,False,Taipei
2037183.0,,2018-02-24,False,True,True,True,True,True,Taipei
1677109.0,,2018-02-25,False,True,False,False,True,False,Taipei
2183458.0,,2018-02-26,True,False,False,False,False,False,Taipei
2347481.0,,2018-02-27,False,True,False,False,False,True,Taipei
1689125.0,National Holiday,2018-02-28,True,True,False,True,True,True,Taipei
2208392.0,,2018-03-01,True,False,False,False,False,True,Taipei
2370392.0,,2018-03-02,False,True,False,True,False,False,Taipei
2189937.0,,2018-03-03,False,True,True,True,True,True,Taipei
1761625.0,,2018-03-04,True,True,True,False,True,False,Taipei
2126205.0,,2018-03-05,False,False,False,False,False,False,Taipei
